Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster,Cluster Name
Đầm Maxi Azalea DRE140 Thời trang thiết kế Hity - M,Hity – lifestyle your way,1900000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Babydoll Sakura DRE159 Thời trang thiết kế Hity,Hity – lifestyle your way,1500000.0,Hity,0.0,0.0,1.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Maxi Condao DRE092 Thời trang thiết kế Hity,Hity – lifestyle your way,1600000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Maxi Jill DRE146 Thời trang thiết kế Hity,Hity – lifestyle your way,1700000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Blazer Thanh Lâm DRE153 thời trang thiết kế Hity,Hity – lifestyle your way,3296000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Maxi Linen Tuyền DRE173 thời trang thiết kế Hity,Hity – lifestyle your way,2296000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Maxi Hoa Violet DRE161 Thời trang thết kế Hity,Hity – lifestyle your way,1600000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Dập Ly Amazon DRE177 Thời trang thiết kế Hity,Hity – lifestyle your way,1700000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Midi Hai Dây Mây DRE192 thời trang thiết kế Hity,Hity – lifestyle your way,1796000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm Linen Xoè Dâm Bụt DRE200 Thời trang thiết kế Hity,Hity – lifestyle your way,1896000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
