Tên sản phẩm	Tên cửa hàng	Giá	Thương hiệu	Lượt đánh giá	Điểm đánh giá trung bình	Số lượng đã bán	Link
Chân váy chữ A ren tiểu thư dễ thương, trẻ trung – Chân váy tutu công chúa lưới ulzzang CV15	Song An Eco	127000	OEM	0	0.0	0	https://tiki.vn/chan-vay-chu-a-ren-tieu-thu-de-thuong-tre-trung-chan-vay-tutu-cong-chua-luoi-ulzzang-cv15-p85008615.html?spid=69014544
(big size) chân váy nhún ly dài công sở siêu xinh C091	Chân váy Big size	150000	OEM	2	3.0	4	https://tiki.vn/big-size-chan-vay-nhun-ly-dai-cong-so-sieu-xinh-c091-p146774300.html?spid=146774334
Chân Váy Nữ Xòe Họa Tiết F’Amor	PAMORE	390000	F'Amor	0	0.0	0	https://tiki.vn/chan-vay-nu-xoe-hoa-tiet-f-amor-p9859866.html?spid=9859870
Chân Váy Midi Cúc Bọc De Leah -  Đen (Size	De Leah	675000	De Leah	0	0.0	0	https://tiki.vn/chan-vay-midi-cuc-boc-de-leah-den-p5530379.html?spid=5530383
DOTTIE - Chân váy dài xẻ tà - S0182	Dottie	549000	Dottie	0	0.0	0	https://tiki.vn/dottie-chan-vay-dai-xe-ta-s0182-p271418277.html?spid=271418283
Chân váy xòe đính nút lưng - 3 màu	THỜI TRANG TINA	119000	OEM	1	4.0	3	https://tiki.vn/chan-vay-xoe-dinh-nut-lung-3-mau-p46056740.html?spid=91854479
Chân váy đuôi cá tà chéo sang trọng	Thời Trang MYMYSHOP	162000	OEM	5	4.0	21	https://tiki.vn/chan-vay-duoi-ca-ta-cheo-sang-trong-p25691646.html?spid=25691650
Chân váy bút chì dài qua gối-Đen	Zart Fashion	199000	ZART	2	4.0	7	https://tiki.vn/chan-vay-but-chi-dai-qua-goi-den-p28079732.html?spid=28079738
Chân váy xòe kèm belt sang trọng	Thời Trang MYMYSHOP	159000	OEM	17	4.7	51	https://tiki.vn/chan-vay-xoe-kem-belt-sang-trong-p25813369.html?spid=25813379
Chân váy nữ Titishop CV122 Sọc kem	TitiShop	79000	Titishop	0	0.0	0	https://tiki.vn/chan-vay-nu-titishop-cv122-soc-kem-p70086542.html?spid=70086546
Chân Váy Midi Xẻ Sau De Leah -  Đen (Size	De Leah	625000	De Leah	1	3.0	5	https://tiki.vn/chan-vay-midi-xe-sau-de-leah-den-p5530775.html?spid=5530791
YU CHERRY | Váy Long CB skirt YV036	Yucherrystore	363000	Yu Cherry	0	0.0	0	https://tiki.vn/yu-cherry-vay-long-cb-skirt-yv036-p192832777.html?spid=192832779
Chân váy Bút chì Titishop ACC516 Trắng	TitiShop	199000	Titishop	0	0.0	1	https://tiki.vn/chan-vay-but-chi-titishop-acc516-trang-p70091308.html?spid=70091318
DOTTIE - Chân váy midi xếp ly - S0155	Dottie	549000	Dottie	0	0.0	0	https://tiki.vn/dottie-chan-vay-midi-xep-ly-s0155-p249237896.html?spid=249237898
